sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;0;ЛЭП;1568;1569;0;ГKC .. - BЫHГAП;0.4;1.7;-106;;;;0;0;-75;-29;222 
0;0;ЛЭП;1580;1583;0;CИБИP - ПPOTOЧ;1.73;6.8;-45;;;;0;0;-74;-7;189 
0;0;ЛЭП;1605;1627;0;УPEHГOЙ - OЛEHЬЯ;13.3;52.3;-342;;;;0;0;-61;10;150 
0;0;ЛЭП;1605;1632;0;УPEHГOЙ - TAPKO-C;6;60;-668;;;;0;0;28;-22;159 
0;0;ЛЭП;1605;1668;0;УPEHГOЙ - ЮБИЛEЙ;10;36;-224;;;;0;0;-45;7;111 
0;0;ЛЭП;1605;1670;0;УPEHГOЙ - ПAHГOДЫ;14.1;50.7;-316;;;;0;0;-64;-2;162 
0;0;ЛЭП;1605;1680;0;УPEHГOЙ - ;0.88;5.8;-308;;;;0;0;259;46;643 
0;0;ЛЭП;1605;1684;0;УPEHГOЙ - CEДAЯX;0.66;3.7;-25;;;;0;0;-61;10;150 
0;0;ЛЭП;1605;1685;0;УPEHГOЙ - УPГPЭC;5.7;32.3;-213;;;;0;0;93;14;229 
0;0;ЛЭП;1622;1632;0;ПPИMA... - TAPKO-C;7.2;26;-156;;;;0;0;81;32;229 
0;0;ЛЭП;1627;1676;0;OЛEHЬЯ - ЯMБУPГ;6.55;21.5;-554;;;;0;0;-69;-1;186 
0;0;ЛЭП;1627;1684;0;OЛEHЬЯ - CEДAЯX;12.6;48.6;-317;;;;0;0;60;6;150 
0;0;ЛЭП;1632;1675;0;TAPKO-C - Ю.XAPAMП;22.6;78;-468;;;;0;0;-56;;152 
0;0;ЛЭП;1632;1690;0;TAPKO-C - CEBEPH;10.2;37;-221;;;;0;0;-101;-18;266 
0;0;ЛЭП;1636;1669;0;HAДЫM - ПPABOX;3.6;12.9;-80;;;;0;0;22;12;63 
0;0;ЛЭП;1636;1670;0;HAДЫM - ПAHГOДЫ;10.6;37.9;-235;;;;0;0;11;8;35 
0;0;ЛЭП;1668;1669;0;ЮБИЛEЙ - ПPABOX;11.1;40;-247;;;;0;0;-44;-5;118 
0;0;ЛЭП;1675;1690;0;Ю.XAPAMП - CEBEPH;11.4;41;-247;;;;0;0;15;8;44 
0;0;ЛЭП;1679;1685;0;MУЯГ - УPГPЭC;0.29;16.6;-44;;;;0;0;77;34;205 
0;0;ЛЭП;1680;1685;0; - УPГPЭC;0.88;5.8;-308;;;;0;0;260;36;636 
0;0;ЛЭП;1706;1730;0;COTHИK - ЛУГOB;0.36;1.35;-32;;;;0;0;68;93;280 
0;0;ЛЭП;1708;1712;0;KPГПЗ-3 - KPACЛEH;4.6;20.2;-124;;;;0;0;98;-10;250 
