sel;sta;tip;ny;name;uhom;nsx;pn;qn;pg;qg;vzd;qmin;qmax;bshr;gshr;vras;delta;qnr;pnr 
0;0;Нагр;60402940;отпайка НПС-8 1;220;0;;;;;;;;;;246.83;-3.81;; 
0;0;Ген-;60402937;ПС 220 кВ НПС-9 2СШ;220;1;3.9;1.9;;-25;238.3;-25;;;;244.38;-5.65;2;4 
0;1;Нагр;6551;ПС 110 кВ Вилюйск 1Т 6 кВ;6;2;;;;;;;;;;;;; 
0;1;Нагр;6552;ПС 110 кВ Вилюйск 2Т 6 кВ;6;2;;;;;;;;;;;;; 
0;0;Нагр;6542;ПС 110 кВ Вилюйск с.т. 2Т;110;0;;;;;;;;;;102.08;-103.05;; 
0;0;Нагр;6541;ПС 110 кВ Вилюйск с.т. 1Т;110;0;;;;;;;;;;104.65;-98.58;; 
0;0;Нагр;6173;ПС 110 кВ Нюрба 2с 110 кВ;110;0;;;;;;;;;;105.19;-91.23;; 
0;0;Нагр;60402941;отпайка НПС-8 2;220;0;;;;;;;;;;247.46;-5.45;; 
0;0;Ген-;60402936;ПС 220 кВ НПС-9 1 CШ;220;1;3.9;1.9;;-25;238.7;-25;;;;244.99;-6.84;2;4 
0;0;Нагр;6224;ПС 220 кВ НПС-13 2СШ-220 кВ;220;1;8.3;2.8;;;;;;;;234.56;-55.32;3;9 
0;0;Ген;6323;Светлинская ГЭС Г3;14;2;0.9;0.1;58;-9.3;14.3;-36.8;82.5;;;14.3;-46.01;;1 
0;0;Нагр;6325;ПС 110 кВ МГРЭС 1СШ-110 кВ;110;2;1.5;0.2;;;;;;;;120.19;-54.02;;2 
0;0;Нагр;6326;ПС 110 кВ МГРЭС 2СШ-110 кВ;110;2;1.8;0.2;;;;;;;;120.19;-54.02;;2 
0;0;Ген;6322;Светлинская ГЭС Г2;14;0;;;45.3;-10.1;14.3;-38.1;85.1;;;14.3;-46.61;; 
0;0;Нагр;6320;Светлинская ГЭС 1C 220;220;0;;;;;;;;;;240.5;-49.09;; 
0;0;Ген;6321;Светлинская ГЭС Г1;14;2;0.9;0.1;40.3;-8.5;14.3;-45.4;87;;;14.3;-47.13;;1 
0;0;Ген;6308;Каскад Вилюйских ГЭС 1, 2 8Г;14;2;0.9;;64.7;-7.6;14;-45.8;63.6;;;14;-45.46;;1 
0;0;Ген;6307;Каскад Вилюйских ГЭС 1, 2 7Г;14;0;;;64.5;-7.6;14;-39.6;63.6;;;14;-45.42;; 
0;0;Ген;6306;Каскад Вилюйских ГЭС 1, 2 6Г;14;2;1.5;;65.9;-7.9;14;-45;63.2;;;14;-45.52;;1 
0;0;Ген;6304;Каскад Вилюйских ГЭС 1, 2 4Г;14;2;;;46.5;-8.1;14;-55.4;53.6;;;14;-46.38;; 
0;0;Ген;6305;Каскад Вилюйских ГЭС 1, 2 5Г;14;0;;;64.4;-7.7;14;-39.7;63.7;;;14;-45.46;; 
0;0;Ген;6303;Каскад Вилюйских ГЭС 1, 2 3Г;14;2;0.9;;44.8;-7.9;14;-55.2;54;;;14;-46.48;;1 
0;0;Нагр;6302;Каскад Вилюйских ГЭС 1, 2 2Г;14;2;;;;;14;;;;;14.1;-48.8;; 
0;0;Ген;6301;Каскад Вилюйских ГЭС 1, 2 1Г;14;2;1.2;;44.7;-8.2;14;-56.6;54;;;14;-46.56;;1 
0;0;Нагр;6212;ПС 220 кВ НПС-12 1СШ-220 кВ;220;1;9.7;2.1;;;;;;;;239.69;-55.76;2;10 
0;0;Нагр;6311;Каскад Вилюйских ГЭС 1, 2 1СШ-220 кВ;220;0;;;;;;;;;;241.04;-48.8;; 
0;0;Нагр;6312;Каскад Вилюйских ГЭС 1, 2 2СШ-220 кВ;220;0;;;;;;;;;;241.04;-48.8;; 
0;0;Нагр;6313;Каскад Вилюйских ГЭС 1, 2 3СШ-220 кВ;220;0;;;;;;;;;;241.05;-48.79;; 
0;0;Нагр;6314;Каскад Вилюйских ГЭС 1, 2 4СШ-220 кВ;220;0;;;;;;;;;;241.05;-48.79;; 
0;0;Нагр;6216;ПС 220 кВ Чернышевская 2СШ-220 кВ;220;1;16.1;3.9;;;;;;;;241.03;-48.83;5;17 
0;0;Нагр;6217;ПС 220 кВ Чернышевская 1СШ-220 кВ;220;1;3.2;1.5;;;;;;;;241.05;-48.88;2;3 
0;0;Нагр;6101;ПС 220 кВ Айхал 1СШ-110 кВ;110;1;29.6;7.9;;;;;;;;120.43;-62.45;9;31 
0;0;Нагр;6102;ПС 220 кВ Айхал 2СШ-110 кВ;110;1;23.5;9.3;;;;;;;;119.92;-62.22;11;25 
0;0;Нагр;6218;ПС 220 кВ Сунтар ОРУ-220 кВ;220;0;;;;;;;;;;226.95;-57.99;; 
0;1;Нагр;6227;ПС 220 кВ Городская ШР-3;220;0;;;;;;;;992;;;;; 
0;0;Нагр;6219;ПС 220 кВ Городская 1СШ-220 кВ;220;0;;;;-39.3;;-63;-1;;;240;-55.61;; 
0;0;Нагр;6119;ПС 220 кВ Городская 1СШ-110 кВ;110;1;16.3;4.3;;;;;;;;113.92;-57.15;5;17 
0;0;Нагр;6120;ПС 220 кВ Городская 2СШ-110 кВ;110;1;22.4;7.3;;;;;;;;113.51;-57.85;8;23 
0;0;Нагр;6200;ПС 220 кВ Айхал МВ-208;220;0;;;;;;;;;;230.88;-61.22;; 
0;0;Нагр;6131;ПС 110 кВ Мир 1C-110;110;1;0.6;0.2;;;;;;;;120.69;-51.37;;1 
0;0;Нагр;6117;ПС 220 кВ Сунтар 1СШ-110 кВ;110;70621;36;7.1;;;;;;;;119.72;-62.19;12;41 
0;0;Нагр;6118;ПС 220 кВ Сунтар 2СШ-110 кВ;110;0;;;;;;;;;;124.92;-65.21;; 
0;0;Нагр;6228;ПС 220 кВ Сунтар с.т. 2АТ;220;0;;;;;;;;;;221.19;-66.28;; 
0;0;Нагр;6229;ПС 220 кВ Сунтар с.т. 1АТ;220;0;;;;;;;;;;220.7;-62.84;; 
0;0;Нагр;6508;ПС 220 кВ Сунтар Р-2;35;0;;;;;;;;;;37.38;-66.28;; 
0;0;Ген+;6530;ПС 220 кВ Олёкминск 2СШ-35 кВ;35;2;4;1.1;;-1;38;-25;-1;;;35.69;-55.38;1;4 
0;0;Ген+;6531;ПС 220 кВ Олёкминск 1СШ-35 кВ;35;2;6.3;1.7;;-1;37;-25;-1;;;35.76;-54.81;2;6 
0;0;Нагр;6536;ПС 220 кВ Районная 2СШ-10 кВ;10;2;0.3;;;;;;;;;11.47;-51.97;; 
0;0;Нагр;6537;ПС 220 кВ Районная 1СШ-10 кВ;10;2;0.3;0.3;;;;;;;;11.51;-51.46;; 
0;0;Нагр;6509;ПС 220 кВ Сунтар Р-1;35;0;;;;;;;;;;36.86;-62.84;; 
0;0;Нагр;6201;ПС 220 кВ Айхал 1СШ-220 кВ;220;0;;;;;;;;;;230.88;-61.22;; 
0;0;Нагр;6202;ПС 220 кВ Айхал с.т. 2АТ;220;0;;;;;;;;;;230.53;-62.3;; 
0;0;Нагр;6203;ПС 220 кВ Айхал с.т. 1АТ;220;0;;;;;;;;;;231.62;-62.49;; 
0;0;Нагр;6204;ПС 220 кВ ГПП-6 ОРУ-220 кВ;220;0;;;;;;;;;;225.76;-63.23;; 
0;0;Нагр;6205;ПС 220 кВ ГПП-6 с.т. 1АТ;220;0;;;;;;;;;;217.29;-69.09;; 
0;1;Нагр;6206;ПС 220 кВ ГПП-6 с.т. 2АТ;220;0;;;;;;;;;;;;; 
0;0;Нагр;6207;ПС 220 кВ ГПП-6 с.т. 3АТ;220;0;;;;;;;;;;218.31;-68.12;; 
