sel;sta;tip;ny;name;uhom;nsx;pn;qn;pg;qg;vzd;qmin;qmax;bshr;gshr;vras;delta;qnr;pnr 
0;0;Нагр;19;TPAЧУKOB;514;0;;;;;;;;;;521.84;-42.91;; 
0;0;Нагр;20;KУCT;518;0;;;;;;;;;;522.6;-43.9;; 
0;0;Нагр;22;COMKИHO;516;0;;;;;;;;;;527.72;-37.1;; 
0;0;Нагр;23;HЯГГPЭC;510;0;;;;;;;;653;;539.47;-45.08;; 
0;0;Нагр;25;KИPПИЧ;520;0;;;;;;;;;;533.31;-38.27;; 
0;0;Нагр;27;TБTЭЦ-2;510;0;;;;;;;;1306;;533.53;-37.61;; 
0;0;Нагр;28;TOБOЛЬCK;520;0;;;;;;;;;;535.93;-33.96;; 
0;0;Нагр;30;HEЛЫM;510;0;;;;;;;;1306;;534.65;-38.81;; 
0;0;Нагр;31;MУPABЛ;500;0;;;;;;;;;;515.69;-51.94;; 
0;0;Нагр;40;ИЛЬKOBO;525;0;;;;;;;;653;;535.87;-45.88;; 
0;0;Нагр;42;CУPГ.HXK;520;0;65;12;;;;;;;;523.33;-36.75;12;65 
0;0;Нагр;43;CУPГ.HXK;520;0;65;10;;;;;;;;528.46;-37.81;10;65 
0;0;Нагр;47;ПЛACTИK;520;0;;;;;;;;;;516.37;-44.61;; 
0;0;Нагр;90;УЗOC-500;520;0;;;;;;;;;;537.14;-38.6;; 
0;0;Нагр;91;OCИHHИK;520;0;;;;;;;;;;536.55;-38.59;; 
0;0;Нагр;802;ИCETЬ;498;0;306;159;;;;;;;;501.05;-29.75;159;306 
0;0;Нагр;808;COKOЛ;501;0;98;412;;;;;;;;501.13;-8.09;412;98 
0;0;Нагр;810;ЦEЛИH;502;0;415;190;;;;;;;;501.02;6.86;190;415 
0;0;Нагр;815;MAЯH..;230;0;87.9;74;;;;;;-793;;217.46;-43.95;74;88 
0;0;Нагр;817;ПETПAB;237;0;73;14;;;;;;;;229.33;-15.94;14;73 
0;0;Нагр;819;KP.CЛOБ;230;0;94.3;53.4;;;;;;;;212.89;-44.13;53;94 
0;0;Нагр;820;БAЗ;223;0;650;211;;;;;;;;213.04;-75.13;211;650 
0;0;Нагр;825;PУДH;223;0;115;26;;;;;;-793;;211.31;-79.42;26;115 
0;0;Нагр;833;CAЛДA;497;0;386;115;;;;;;;;496.67;-62.41;115;386 
0;0;Нагр;836;ДУБP;499;0;375;262;;;;;;;;498.58;-2.02;262;375 
0;0;Нагр;840;BЛ  БAЗ;520;0;;;;;;;;;;539.86;-70.09;; 
0;0;Нагр;853;ИPБИT220;230;0;99.7;44.3;;;;;;;;218.67;-45.87;44;100 
0;0;Нагр;854;PEФT..;230;0;;;;;;;;;;234.48;-40.81;; 
0;0;Нагр;856;CИPEH220;230;0;155.7;77.8;;;;;;;;227.21;-42.99;78;156 
0;0;Нагр;1131;TЮMEHЬ;232;0;116.4;65.2;;;;;;;;232.22;-38.91;65;116 
0;0;Нагр;1203;ИШИM;230;0;90;26.6;;;;;;;;206.75;-39.19;27;90 
0;0;Нагр;1207;ГOЛЫШ;202;0;74;30.5;;;;;;;;208.11;-40.43;30;74 
0;0;Нагр;1260;ЗAPЯИHO;230;0;105;30;;;;;;;;207.28;-38.94;30;105 
0;0;Нагр;1301;ЧECHOK2;220;0;14;1;;;;;;;;236.04;-43.13;1;14 
0;0;Нагр;1302;ЧECHOK;234;0;14;;;2;;;;;;236.23;-43.06;;14 
0;0;Нагр;1303;ИЛЬИЧ-1;235;0;14;;;2;;;;;;237.03;-44.19;;14 
0;0;Нагр;1304;HKATЫШ;236;0;14;;;2;;;;;;237.27;-44.82;;14 
0;0;Нагр;1306;ДEMЬЯH;232;0;167;42;;;;;;;;234.61;-41.61;42;167 
0;0;Нагр;1308;CHEЖH;223;0;93;25;;;;;;;;226.44;-44.99;25;93 
0;0;Нагр;1321;ИЛЬИЧ-2;236;0;;;;;;;;;;237.16;-44;; 
0;0;Нагр;1325;HKAT-2;236;0;;;;;;;;;;237.26;-44.73;; 
0;0;Нагр;1402;ПAЧET;233;0;99.3;26.1;;;;;;;;230.44;-44.43;26;99 
0;0;Нагр;1403;ПAЧET;230;0;103.8;20.7;;;;;;;;227.01;-44.42;21;104 
0;0;Нагр;1405;KOBШИK;238;0;25.9;9;;;;;;;;237.5;-42.44;9;26 
0;0;Нагр;1410;У.БAЛXK;225;0;48;9;;;;;;;;225.79;-44.99;9;48 
0;0;Нагр;1411;KAPKAT;230;0;14.8;1.8;;;;;;;;226.65;-44.44;2;15 
0;0;Нагр;1416;CУPГУT;239;0;163.6;63.9;;;;;;;;238.32;-42.01;64;164 
0;0;Нагр;1418;ПOЛOЦ;236;0;267.9;46.8;;;;;;;;235.29;-42.33;47;268 
0;0;Нагр;1420;ИMИЛOP;233;0;159.2;50.4;;;;;;;;228.71;-46.74;50;159 
0;0;Нагр;1421;COMKИHO;235;0;;;;;;;;;;233.33;-41.2;; 
0;0;Нагр;1422;B.MOX;230;0;141.9;43.2;;;;;;;;226.74;-47.94;43;142 
0;0;Нагр;1425;KИPПИЧ;230;0;;;;;;;;;;231.44;-42.04;; 
0;0;Нагр;1426;Ю.Б.ГПЗ;230;0;44.5;;;;;;;;;227.75;-43.73;;45 
0;0;Нагр;1427;KOГOЛЫM;224;0;73.9;29.7;;;;;;;;223.13;-51.82;30;74 
0;0;Нагр;1429;MAГИCT;220;0;184.7;54.9;;;;;;;;228.05;-43.75;55;185 
0;0;Нагр;1431;KИPИЛ;232;0;319.1;78.3;;;;;;;;227.57;-48.69;78;319 
0;0;Нагр;1432;ПУЛЬЯX;217;0;139.2;52.2;;;;;;;;218.09;-59.84;52;139 
0;0;Нагр;1433;ABPOPA;220;0;;;-90;;;;;;;223.12;-55.94;; 
